Source,File_Name,Time,People_Count
webcam,,17:04:45,1
webcam,,17:04:50,1
webcam,,17:04:55,1
webcam,,17:05:00,1
webcam,,17:05:05,1
webcam,,17:05:10,1
webcam,,17:05:15,1
webcam,,17:05:20,1
webcam,,17:05:25,1
webcam,,17:05:31,1
webcam,,17:05:36,1
webcam,,17:05:42,1
image,0001001.jpg,,17
image,0001004.jpg,,12
image,0001024.jpg,,8
image,0001034.jpg,,19
image,0001079.jpg,,14
image,0002002.jpg,,17
image,0002007.jpg,,9
image,0002026.jpg,,14
image,0002031.jpg,,19
image,00030011.jpg,,20
image,classroom.webp.webp,,19
image,library.webp.webp,,10
